A Nova	Beira Baixa islands	 Portugal
Abbasak	Persian Gulf	 Iran
Aberdeen	Georgian Bay,  Ontario	 Canada
Abner Cay	Bahamas	 Bahamas
Abruka	Gulf of Riga	 Estonia
Absecon	 New Jersey	 United States
Abu Musa	Persian Gulf	Claimed by  Iran and  United Arab Emirates
Acheron	Great Palm Island,  Queensland	 Australia
Achill		 Ireland
Achillbeg		 Ireland
Acklins	Bahamas	 Bahamas
Acton	Lake Muskoka,  Ontario	 Canada
Adam	Lesser Antilles	 Grenada
Adams	Antarctica	
Adams	 Massachusetts	 United States
Adams	Auckland Islands	 New Zealand
Adams	 Nunavut	 Canada
Adams Key	Florida Keys,  Florida	 United States
Adderly Cay	Bahamas	 Bahamas
Adelaide	Marguerite Bay off the west coast of the Antarctic Peninsula	Antarctica
Adelaide	St. Lawrence River,  Ontario	 Canada
Adelsö	Lake Mälaren	 Sweden
Adhelfopoulo	Sporades	 Greece
Admiralty	 Alaska	 United States
Admiralty	 Nunavut	 Canada
Admiralty	Saint Lawrence River,  Ontario	 Canada
Æbelø	The Kattegat	 Denmark
Aegina	Saronic Islands	 Greece
Aegna	Tallinn Bay, Baltic Sea	 Estonia
Ærø	Baltic Sea	 Denmark
Agar's	 Bermuda	 United Kingdom
Agathonisi	Dodecanese	 Greece
Agatti	Lakshadweep	 India
Agerø	Limfjord	 Denmark
Agersø	Great Belt	 Denmark
Agios Efstratios		 Greece
Agnes	 Queensland	 Australia
Agolada	Ribatejo islands	 Portugal
Agrihan	 Northern Mariana Islands	 United States
Agunijima	Okinawa Islands part of the Ryukyu Islands	 Japan
Ahe	King George Islands,  Tuamotus,  French Polynesia	 France
Ahelaid	Väinameri Sea	 Estonia
Cayo Ahogado	Greater Antilles, Puerto Rico	 United States
Ahtra	Pärnu Bay, Gulf of Riga	 Estonia
Ailinginae	Ralik Chain	 Marshall Islands
Ailinginae Atoll	Ralik Chain	 Marshall Islands
Ailinglapalap	Ralik Chain	 Marshall Islands
Ailinglapalap Atoll	Ralik Chain	 Marshall Islands
Ailuk	Ratak Chain	 Marshall Islands
Ailuk Atoll	Ratak Chain	 Marshall Islands
Air Force	Queen Elizabeth Islands,  Nunavut	 Canada
Aipus	Torres Strait Islands  Queensland	 Australia
Aitutaki	Cook Islands	 Cook Islands
Ajeltokrok	Arno Atoll	 Marshall Islands
Ajirah	Hawar Islands	 Bahrain
Akajima	Kerama Islands part of the Okinawa Islands part of the Ryukyu Islands	 Japan
Akimiski	James Bay,  Nunavut	 Canada
Akpatok	Queen Elizabeth Islands,  Nunavut	 Canada
Aksi	Gulf of Finland	 Estonia
Akusekijima	Tokara Islands part of the Satsunan Islands part of the Ryukyu Islands	 Japan
